Cell,neighbors
1,2;3;5;6;18;
2,1;3;13;15;
3,1;2;
4,5;6;8;9;21;
5,1;4;6;18;
6,1;4;5;
7,8;9;11;12;24;
8,4;7;9;19;21;24;
9,4;7;8;
10,11;12;27;
11,7;10;12;22;24;27;
12,7;10;11;
13,2;14;15;18;30;
14,13;15;30;
15,2;13;14;
16,5;17;18;20;21;33;
17,16;18;28;30;
18,1;2;5;13;16;17;
19,20;21;23;24;36;
20,16;19;21;
21,5;8;16;19;20;
22,11;23;24;26;27;39;
23,22;24;34;
24,8;11;19;22;23;
25,26;27;
26,22;25;27;37;
27,10;11;22;25;26;
28,17;29;30;33;45;
29,28;30;40;42;45;
30,13;17;28;29;
31,32;33;35;48;
32,28;31;33;43;
33,31;32;
34,35;36;38;51;
35,34;36;46;48;51;
36,23;34;35;
37,26;38;39;54;
38,34;37;39;49;51;54;
39,23;26;34;37;38;
40,29;41;42;44;45;
41,40;42;
42,29;40;41;
43,32;44;45;47;48;
44,40;43;45;
45,28;29;32;40;43;
46,35;47;48;50;51;
47,43;46;48;
48,31;32;35;43;46;47;
49,38;50;51;53;54;
50,46;49;51;
51,34;35;38;46;49;50;
52,53;54;
53,49;52;54;
54,38;49;52;53;
