Cell,neighbors
1,366;401;447;498;500;
2,36;247;366;401;463;
3,247;500;
4,175;330;447;498;
5,2;10;247;401;498;
6,2;247;
7,43;175;243;330;459;
8,86;243;330;
9,2;86;175;
10,165;459;
11,86;165;217;243;431;459;
12,43;86;217;
13,208;299;463;500;
14,36;463;
15,500;
16,10;42;208;401;
17,42;51;401;410;414;
18,36;208;247;414;447;500;
19,10;124;322;
20,10;318;359;414;
21,318;322;414;447;
22,43;124;165;243;279;418;
23,243;431;441;
24,43;86;124;318;431;
25,165;418;
26,137;165;236;279;
27,43;137;217;418;431;
28,42;51;202;208;378;
29,26;51;232;337;410;
30,36;299;378;410;
31,42;202;
32,42;337;359;485;
33,202;359;414;
34,102;124;132;417;441;
35,98;280;441;
36,102;124;280;
37,279;394;417;418;
38,236;279;280;350;394;
39,124;236;280;417;418;431;
40,180;190;232;337;492;
41,26;190;232;
42,26;378;492;
43,171;180;231;337;343;
44,26;171;190;337;485;
45,26;180;202;378;485;
46,102;142;231;343;
47,98;171;231;426;
48,98;102;343;485;
49,132;142;288;394;417;
50,98;132;350;
51,102;142;280;350;417;
52,288;394;
53,245;350;394;
54,236;245;288;350;417;
55,81;171;180;190;436;
56,32;190;
57,26;32;81;180;492;
58,343;436;
59,32;81;171;426;
60,32;180;343;426;436;485;
